month,product,n
2026-02,Credit reporting or other personal consumer reports,466614
2026-02,Debt collection,29709
2026-02,Debt or credit management,385
2026-02,"Money transfer, virtual currency, or money service",2955
2026-02,Mortgage,2653
2026-02,"Payday loan, title loan, personal loan, or advance loan",1394
2026-02,Prepaid card,560
2026-02,Student loan,1590
2026-02,Vehicle loan or lease,2008
2026-03,Checking or savings account,7887
2026-03,Credit card,8381
2026-03,Credit reporting or other personal consumer reports,552540
2026-03,Debt collection,34382
2026-03,Debt or credit management,431
2026-03,"Money transfer, virtual currency, or money service",3431
2026-03,Mortgage,2962
2026-03,"Payday loan, title loan, personal loan, or advance loan",1531
2026-03,Prepaid card,475
2026-03,Student loan,2051
2026-03,Vehicle loan or lease,2327
2026-04,Checking or savings account,7758
2026-04,Credit card,8305
2026-04,Credit reporting or other personal consumer reports,564049
2026-04,Debt collection,29308
2026-04,Debt or credit management,386
2026-04,"Money transfer, virtual currency, or money service",3506
2026-04,Mortgage,3033
2026-04,Other,1
2026-04,"Payday loan, title loan, personal loan, or advance loan",1562
2026-04,Prepaid card,476
2026-04,Student loan,2020
2026-04,Vehicle loan or lease,2252
2026-05,Checking or savings account,7768
2026-05,Credit card,8436
2026-05,Credit reporting or other personal consumer reports,597113
2026-05,Debt collection,32037
2026-05,Debt or credit management,520
2026-05,"Money transfer, virtual currency, or money service",3730
2026-05,Mortgage,3051
2026-05,Other,7
2026-05,"Payday loan, title loan, personal loan, or advance loan",1734
2026-05,Prepaid card,579
2026-05,Student loan,1699
2026-05,Vehicle loan or lease,2392
2026-06,Checking or savings account,8879
2026-06,Credit card,8423
2026-06,Credit reporting or other personal consumer reports,715939
2026-06,Debt collection,37079
2026-06,Debt or credit management,455
2026-06,"Money transfer, virtual currency, or money service",3614
2026-06,Mortgage,3447
2026-06,Other,51
2026-06,"Payday loan, title loan, personal loan, or advance loan",1774
2026-06,Prepaid card,710
2026-06,Student loan,1779
2026-06,Vehicle loan or lease,2350
2026-07,Checking or savings account,6116
2026-07,Credit card,5787
2026-07,Credit reporting or other personal consumer reports,531204
2026-07,Debt collection,26547
2026-07,Debt or credit management,350
2026-07,"Money transfer, virtual currency, or money service",2880
2026-07,Mortgage,2291
2026-07,Other,57
2026-07,"Payday loan, title loan, personal loan, or advance loan",1451
2026-07,Prepaid card,589
2026-07,Student loan,1226
2026-07,Vehicle loan or lease,1718
2014-07,Bank account or service,1342
2014-07,Mortgage,3637
2015-02,Mortgage,3052
2016-01,Debt collection,2913
2016-08,Consumer Loan,845
2016-09,Debt collection,3519
2017-06,Debt collection,3699
2017-08,Checking or savings account,1574
2017-08,Debt collection,4368
